"","CPU","ReleaseDate","ReleasePrice","CurrentDate","CurrentPrice","Score","Quartile"
"1","Intel Core i9-14900K",2023-12-31,589,2023-12-31,589,61046,"Third Quartile"
"2","Intel Core i9-13900KS",2023-01-13,729.99,2023-05-18,988.99,61899,"Third Quartile"
"3","Intel Core i9-13900K",2022-09-27,589,2023-05-31,1049.99,59349,"Third Quartile"
"4","Intel Core i9-13900KF",2022-09-01,564,2023-05-17,548.99,58678,"Third Quartile"
"5","Intel Core i9-14900",2024-03-31,549,2024-03-31,549,49392,"Third Quartile"
"6","Intel Core i9-14900F",2024-03-31,524,2024-03-31,524,52059,"Third Quartile"
"7","Intel Core i7-14700KF",2023-12-31,384,2023-12-31,384,53451,"Second Quartile"
"8","Intel Core i7-14700K",2023-12-31,409,2023-12-31,409,53642,"Third Quartile"
"9","Intel Core i9-13900F",2023-01-01,524,2023-05-29,569.99,51623,"Third Quartile"
"10","Intel Core i9-14900T",2024-03-31,549,2024-03-31,549,43527,"Third Quartile"
"11","Intel Core i7-13700K",2022-10-20,409,2023-05-14,1114.99,46552,"Third Quartile"
"12","Intel Core i7-13700KF",2022-10-20,384,2023-04-30,390.99,46381,"Third Quartile"
"13","Intel Core i9-12900KS",2022-01-01,739,2023-03-30,652.35,44157,"Third Quartile"
"14","Intel Core i9-13900",2023-01-01,549,2023-05-22,549.99,47920,"Third Quartile"
"15","Intel Core i7-14700F",2024-03-31,359,2024-03-31,359,44921,"Second Quartile"
"16","Intel Core i5-14600KF",2023-12-31,294,2023-12-31,294,39393,"Second Quartile"
"17","AMD Ryzen 9 7950X",2022-09-26,699,2023-06-02,555.99,62943,"Third Quartile"
"18","Intel Core i5-14600K",2023-12-31,319,2023-12-31,319,39255,"Second Quartile"
"19","AMD Ryzen 9 7900X",2022-09-28,549.99,2023-05-04,433.79,51931,"Third Quartile"
"20","Intel Core i5-14600",2024-03-31,255,2024-03-31,255,36251,"Second Quartile"
"21","Intel Core i9-13900T",2023-03-31,549,2023-03-31,549,44297,"Third Quartile"
"22","AMD Ryzen 7 7700X",2022-10-02,399.99,2023-06-01,377.99,36020,"Third Quartile"
"23","Intel Core i7-14700",2024-03-31,384,2024-03-31,384,46566,"Third Quartile"
"24","Intel Core i9-12900K",2021-10-01,589,2023-03-25,355.99,41361,"Third Quartile"
"25","Intel Core i9-12900KF",2021-10-01,564,2023-04-16,567,41158,"Third Quartile"
"26","AMD Ryzen 5 7600X",2022-09-28,299.99,2023-05-10,239.89,28572,"Second Quartile"
"27","AMD Ryzen 9 7900",2023-03-31,419.99,2023-03-31,419.99,48842,"Third Quartile"
"28","Intel Core i5-13600K",2022-09-27,319,2023-05-19,314.99,38139,"Second Quartile"
"29","AMD Ryzen 9 7950X3D",2023-03-03,918.99,2023-06-02,799.99,62536,"Third Quartile"
"30","Intel Core i7-13700",2023-01-01,384,2023-05-10,392.99,37655,"Second Quartile"
"31","Intel Core i5-13600KF",2022-09-01,294,2023-04-30,294.99,37914,"Second Quartile"
"32","Intel Core i7-13700F",2023-01-01,359,2023-05-08,362.99,39246,"Second Quartile"
"33","AMD Ryzen 9 7900X3D",2023-03-03,794.99,2023-05-23,599.99,50408,"Third Quartile"
"34","Intel Core i9-12900F",2022-01-01,464,2023-03-08,540,36971,"Third Quartile"
"35","AMD Ryzen 7 7700",2023-03-31,319.79,2023-03-31,319.79,34598,"Second Quartile"
"36","Intel Core i5-13600",2023-03-31,255,2023-03-31,255,32488,"Second Quartile"
"37","Intel Core i9-12900",2022-01-01,489,2023-03-08,568,34358,"Third Quartile"
